condition,ratio,strategy,position_mode,doc_id,target_tokens,fact_class,gold,prediction,clean_hit,semantic_hit,exact_hit,distractor_hit,rank_margin,answer_logprob,n_active_positions,n_doc_tokens
NATIVE_CACHED,1.0,none,original,A-s11-d0-t4096,4096,semantic,crimson,crimson,True,True,True,False,25.68889533006586,-0.0013970283325761557,4284,4232
NATIVE_CACHED,1.0,none,original,A-s11-d0-t4096,4096,identifier,MB-3138-XD,MB-3138-XD,True,True,True,False,4.73437498509884,-1.4901160305669237e-08,4284,4232
NATIVE_CACHED,1.0,none,original,A-s11-d0-t4096,4096,number,"11,583","11,583",True,True,True,False,4.895840644836426,0.0,4284,4232
NATIVE_CACHED,1.0,none,original,A-s11-d0-t4096,4096,date,2031-04-12,2031-04-12,True,True,True,False,3.4750709533691406,0.0,4284,4232
NATIVE_CACHED,1.0,none,original,A-s11-d0-t4096,4096,hash,6d6f05e42e59ccb9,6d6f05e42e59ccb9,True,True,True,False,5.071875095367432,0.0,4284,4232
NATIVE_CACHED,1.0,none,original,A-s11-d0-t4096,4096,path,/var/opt/mirren/spool/kx73.log,/var/opt/mirren/spool/kx73.log,True,True,True,False,2.5416666776327475,-1.3181528629502282e-05,4284,4232
NATIVE_CACHED,1.0,none,original,A-s11-d0-t4096,4096,url,https://depot.example.net/rel/4062,https://depot.example.net/rel/4062,True,True,True,False,2.6435664158603487,-1.9256860639416118e-07,4284,4232
NATIVE_CACHED,1.0,none,original,A-s11-d0-t4096,4096,proper_noun,Tobias Vantol,Tobias Vantol,True,True,True,False,9.925016363461815,-3.973642748178463e-08,4284,4232
NATIVE_CACHED,1.0,none,original,A-s11-d0-t4096,4096,composition,Longmere,Longmere,True,True,True,False,7.719760722247884,-7.932749576866627e-05,4284,4232
RANDOM,1.0,random_kv,original,A-s11-d0-t4096,4096,semantic,crimson,Answer: None.,False,False,False,False,1.7868127822875977,-9.224449157714844,4284,4232
RANDOM,1.0,random_kv,original,A-s11-d0-t4096,4096,identifier,MB-3138-XD,Mirren-4006,False,False,False,False,0.46518898010253906,-7.074258804321289,4284,4232
RANDOM,1.0,random_kv,original,A-s11-d0-t4096,4096,number,"11,583",0,False,False,False,False,0.17577242851257324,-3.9792749881744385,4284,4232
RANDOM,1.0,random_kv,original,A-s11-d0-t4096,4096,date,2031-04-12,Answer:,False,False,False,False,0.5923280715942383,-3.4305577278137207,4284,4232
RANDOM,1.0,random_kv,original,A-s11-d0-t4096,4096,hash,6d6f05e42e59ccb9,0x3a7d333135555555555555555555555555555555555555,False,False,False,False,2.763375997543335,-3.743701696395874,4284,4232
RANDOM,1.0,random_kv,original,A-s11-d0-t4096,4096,path,/var/opt/mirren/spool/kx73.log,/proc/sysrq/4073,False,False,False,False,0.2481532096862793,-6.632406711578369,4284,4232
RANDOM,1.0,random_kv,original,A-s11-d0-t4096,4096,url,https://depot.example.net/rel/4062,https://mirren-4089.com,False,False,False,False,0.8936672210693359,-5.596621990203857,4284,4232
RANDOM,1.0,random_kv,original,A-s11-d0-t4096,4096,proper_noun,Tobias Vantol,Ordell-4117,False,False,False,False,2.590855598449707,-7.636932373046875,4284,4232
RANDOM,1.0,random_kv,original,A-s11-d0-t4096,4096,composition,Longmere,"The exact answer is: ""Unit DELTA-4156"" as it is the facility mentioned in the document. However, since the question asks for the facility name and the answer should be copied verbatim from the document, the",False,False,False,False,-7.838427543640137,-14.074230194091797,4284,4232
SHUFFLE_KV_ORDER,1.0,shuffle_blocks,original,A-s11-d0-t4096,4096,semantic,crimson,crimson,True,True,True,False,25.87678938161116,-0.0017907117726281285,4284,4232
SHUFFLE_KV_ORDER,1.0,shuffle_blocks,original,A-s11-d0-t4096,4096,identifier,MB-3138-XD,MB-3138-XD,True,True,True,False,4.72656248509884,-1.4901160305669237e-08,4284,4232
SHUFFLE_KV_ORDER,1.0,shuffle_blocks,original,A-s11-d0-t4096,4096,number,"11,583","11,583",True,True,True,False,4.9166741371154785,0.0,4284,4232
SHUFFLE_KV_ORDER,1.0,shuffle_blocks,original,A-s11-d0-t4096,4096,date,2031-04-12,2031-04-12,True,True,True,False,3.52504301071167,0.0,4284,4232
SHUFFLE_KV_ORDER,1.0,shuffle_blocks,original,A-s11-d0-t4096,4096,hash,6d6f05e42e59ccb9,6d6f05e42e59ccb9,True,True,True,False,5.040625095367432,0.0,4284,4232
SHUFFLE_KV_ORDER,1.0,shuffle_blocks,original,A-s11-d0-t4096,4096,path,/var/opt/mirren/spool/kx73.log,/var/opt/mirren/spool/kx73.log,True,True,True,False,2.5208333344971834,-1.3986059457238298e-05,4284,4232
SHUFFLE_KV_ORDER,1.0,shuffle_blocks,original,A-s11-d0-t4096,4096,url,https://depot.example.net/rel/4062,https://depot.example.net/rel/4062,True,True,True,False,2.630376898325565,-1.5588891244533443e-07,4284,4232
SHUFFLE_KV_ORDER,1.0,shuffle_blocks,original,A-s11-d0-t4096,4096,proper_noun,Tobias Vantol,Tobias Vantol,True,True,True,False,9.92502017815908,-3.973642748178463e-08,4284,4232
SHUFFLE_KV_ORDER,1.0,shuffle_blocks,original,A-s11-d0-t4096,4096,composition,Longmere,Longmere,True,True,True,False,7.657252024044283,-0.00010185397695749998,4284,4232
KV_STRIDE,2.0,stride,original,A-s11-d0-t4096,4096,semantic,crimson,blue bicycle was archived to the Ordell. The electrical audit for the Ordell. The electrical audit for the Ordell. The electrical audit for the Ordell. The electrical audit for the Ordell. The electrical audit for the Ordell,False,False,False,True,-26.77009177445143,-26.770160675048828,2168,4232
KV_STRIDE,2.0,stride,original,A-s11-d0-t4096,4096,identifier,MB-3138-XD,MB-401,False,False,False,False,-0.49533605575561523,-6.2891716957092285,2168,4232
KV_STRIDE,2.0,stride,original,A-s11-d0-t4096,4096,number,"11,583","1

11,582
11




11,58




11,5


11


11,5
11",False,False,False,False,4.404167652130127,-4.1252360343933105,2168,4232
KV_STRIDE,2.0,stride,original,A-s11-d0-t4096,4096,date,2031-04-12,"2


203-0403",False,False,False,False,1.7120180130004883,-4.946038722991943,2168,4232
KV_STRIDE,2.0,stride,original,A-s11-d0-t4096,4096,hash,6d6f05e42e59ccb9,6,False,False,False,False,4.054422378540039,-9.094772338867188,2168,4232
KV_STRIDE,2.0,stride,original,A-s11-d0-t4096,4096,path,/var/opt/mirren/spool/kx73.log,/var/opt,False,False,False,False,0.05980205535888672,-9.476693153381348,2168,4232
KV_STRIDE,2.0,stride,original,A-s11-d0-t4096,4096,url,https://depot.example.net/rel/4062,"https://relay


https://relay

https://

https://

https://

https://
https://

https://
https://

https://
https://
https://
https://",False,False,False,False,-1.0346460342407227,-7.475733280181885,2168,4232
KV_STRIDE,2.0,stride,original,A-s11-d0-t4096,4096,proper_noun,Tobias Vantol,Halvarden,False,False,False,False,-7.23641300201416,-14.500615119934082,2168,4232
KV_STRIDE,2.0,stride,original,A-s11-d0-t4096,4096,composition,Longmere,Longer,False,False,False,False,10.907660603523254,-0.8110359907150269,2168,4232
KV_SINK,2.0,sink,original,A-s11-d0-t4096,4096,semantic,crimson,blue. The electrical audit for the Ordell. The electrical audit for the Ordell. The thermal audit for the Ordell. The thermal audit for the Ordell. The thermal audit for the Ordell. The thermal audit for the Ord,False,False,False,True,-22.128982190028182,-22.12906837463379,2166,4232
KV_SINK,2.0,sink,original,A-s11-d0-t4096,4096,identifier,MB-3138-XD,RT-401,False,False,False,False,-5.546542167663574,-11.972867012023926,2166,4232
KV_SINK,2.0,sink,original,A-s11-d0-t4096,4096,number,"11,583","1



11,532
112
112
112
112
112
112
112
11
11
11",False,False,False,False,-0.3757667541503906,-6.064732074737549,2166,4232
KV_SINK,2.0,sink,original,A-s11-d0-t4096,4096,date,2031-04-12,2001,False,False,False,False,2.3264236450195312,-3.529367446899414,2166,4232
KV_SINK,2.0,sink,original,A-s11-d0-t4096,4096,hash,6d6f05e42e59ccb9,"6
6
6",False,False,False,False,1.9723577499389648,-10.887415885925293,2166,4232
KV_SINK,2.0,sink,original,A-s11-d0-t4096,4096,path,/var/opt/mirren/spool/kx73.log,/var/opt/relay,False,False,False,False,-0.01719951629638672,-8.825697898864746,2166,4232
KV_SINK,2.0,sink,original,A-s11-d0-t4096,4096,url,https://depot.example.net/rel/4062,"https://


https://",False,False,False,False,-1.0545711517333984,-6.585339069366455,2166,4232
KV_SINK,2.0,sink,original,A-s11-d0-t4096,4096,proper_noun,Tobias Vantol,"Tobt

Tobt",False,False,False,False,1.2243328094482422,-9.357991218566895,2166,4232
KV_SINK,2.0,sink,original,A-s11-d0-t4096,4096,composition,Longmere,"Longmere



Longmere",True,True,True,False,14.531667023897171,-0.18744537234306335,2166,4232
KV_STRIDE_COMPACT,2.0,stride,compact,A-s11-d0-t4096,4096,semantic,crimson,###,False,False,False,False,1.7399311065673828,-14.619483947753906,2168,4232
KV_STRIDE_COMPACT,2.0,stride,compact,A-s11-d0-t4096,4096,identifier,MB-3138-XD,###,False,False,False,False,-0.7997679710388184,-6.981183052062988,2168,4232
KV_STRIDE_COMPACT,2.0,stride,compact,A-s11-d0-t4096,4096,number,"11,583",### The,False,False,False,False,0.5197861194610596,-3.957719087600708,2168,4232
KV_STRIDE_COMPACT,2.0,stride,compact,A-s11-d0-t4096,4096,date,2031-04-12,###,False,False,False,False,0.3646683692932129,-3.3157107830047607,2168,4232
KV_STRIDE_COMPACT,2.0,stride,compact,A-s11-d0-t4096,4096,hash,6d6f05e42e59ccb9,###,False,False,False,False,1.584416389465332,-6.455322265625,2168,4232
KV_STRIDE_COMPACT,2.0,stride,compact,A-s11-d0-t4096,4096,path,/var/opt/mirren/spool/kx73.log,###,False,False,False,False,0.05220603942871094,-11.584172248840332,2168,4232
KV_STRIDE_COMPACT,2.0,stride,compact,A-s11-d0-t4096,4096,url,https://depot.example.net/rel/4062,### The,False,False,False,False,-0.3049750328063965,-7.221473693847656,2168,4232
