condition,draw,doc_id,target_tokens,n_chunks,fact_id,fact_class,gold,distractor,prediction,semantic_hit,exact_hit,distractor_hit,clean_hit,answer_logprob,distractor_logprob,rank_margin,n_prompt_tokens,n_active_positions,n_generated
NATIVE,A,A-s11-d0-t1024,1024,4,A-0-semantic-0,semantic,amber,blue,amber,True,True,False,True,-0.0002658013836480677,-24.43776512145996,24.437499320076313,1177,1177,2
NATIVE,A,A-s11-d0-t1024,1024,4,A-0-identifier-0,identifier,QZ-2676-KP,QZ-6379-RT,QZ-2676-KP,True,True,False,True,0.0,-3.847222328186035,3.847222328186035,1181,1181,10
NATIVE,A,A-s11-d0-t1024,1024,4,A-0-number-0,number,"26,162","21,971","26,162",True,True,False,True,0.0,-6.19791841506958,6.19791841506958,1184,1184,7
NATIVE,A,A-s11-d0-t1024,1024,4,A-0-date-0,date,2032-05-22,2029-12-13,2032-05-22,True,True,False,True,0.0,-2.6981394290924072,2.6981394290924072,1182,1182,11
NATIVE,A,A-s11-d0-t1024,1024,4,A-0-hash-0,hash,c9e6dd3f1e081516,29868d2c8cf26399,c9e6dd3f1e081516,True,True,False,True,0.0,-2.8000004291534424,2.8000004291534424,1180,1180,16
NATIVE,A,A-s11-d0-t1024,1024,4,A-0-path-0,path,/srv/calder/spool/kx59.log,/var/opt/mirren/spool/kx72.log,/srv/calder/spool/kx59.log,True,True,False,True,-0.0019471269333735108,-0.32470759749412537,0.32276047056075186,1181,1181,12
NATIVE,A,A-s11-d0-t1024,1024,4,A-0-url-0,url,https://relay.example.org/rel/2459,https://depot.example.net/rel/1643,https://relay.example.org/rel/2459,True,True,False,True,-2.0861610039446532e-07,-2.706731081008911,2.7067308723928107,1181,1181,13
NATIVE,A,A-s11-d0-t1024,1024,4,A-0-proper_noun-0,proper_noun,Ingrid Nieminen,Ingrid Brannigan,Ingrid Nieminen,True,True,False,True,-2.417421455902513e-05,-7.75,7.749975825785441,1182,1182,6
NATIVE,A,A-s11-d0-t1024,1024,4,A-0-composition-0,composition,Longmere,Ashcombe,Longmere,True,True,False,True,-0.0005852730246260762,-16.75058937072754,16.750004097702913,1191,1191,3
NOCTX,A,A-s11-d0-t1024,1024,4,A-0-semantic-0,semantic,amber,blue,Red,False,False,False,False,-16.324203491210938,-7.011703968048096,-9.312499523162842,88,88,2
NOCTX,A,A-s11-d0-t1024,1024,4,A-0-identifier-0,identifier,QZ-2676-KP,QZ-6379-RT,UNKNOWN,False,False,False,False,-5.55219841003418,-5.10183572769165,-0.4503626823425293,92,92,2
NOCTX,A,A-s11-d0-t1024,1024,4,A-0-number-0,number,"26,162","21,971",1250000,False,False,False,False,-2.851283311843872,-2.9616777896881104,0.11039447784423828,95,95,8
NOCTX,A,A-s11-d0-t1024,1024,4,A-0-date-0,date,2032-05-22,2029-12-13,"July 1, 2021",False,False,False,False,-2.676384449005127,-4.429749011993408,1.7533645629882812,93,93,10
NOCTX,A,A-s11-d0-t1024,1024,4,A-0-hash-0,hash,c9e6dd3f1e081516,29868d2c8cf26399,0x3a7d6a3e8d5c2b1a4f9c0e7b6d3a2f1e7c8b4d5a6e3f1a,False,False,False,False,-3.26643443107605,-3.0376133918762207,-0.2288210391998291,91,91,48
NOCTX,A,A-s11-d0-t1024,1024,4,A-0-path-0,path,/srv/calder/spool/kx59.log,/var/opt/mirren/spool/kx72.log,/raid0/ordell-5697/diagnostics,False,False,False,False,-8.48272705078125,-7.91118860244751,-0.5715384483337402,92,92,14
NOCTX,A,A-s11-d0-t1024,1024,4,A-0-url-0,url,https://relay.example.org/rel/2459,https://depot.example.net/rel/1643,http://mirror.5713.mirren/,False,False,False,False,-5.370706081390381,-4.970204830169678,-0.4005012512207031,92,92,13
