condition,ratio,doc_id,target_tokens,fact_class,gold,prediction,clean_hit,semantic_hit,exact_hit,distractor_hit,rank_margin,answer_logprob,n_active_positions,n_memory_positions,n_doc_tokens
LEARNED,2.0,A-s11-d0-t4096,4096,semantic,crimson,"crimson
</think>

blue
</think>

blue
</think>

crimson
</think>

blue
</think>

crimson
</think>

blue
</think>

crimson
</think>

blue",False,True,True,True,1.0509957820177078,-0.17628400027751923,2250,2119,4232
LEARNED,2.0,A-s11-d0-t4096,4096,identifier,MB-3138-XD,MB-3138-XD-RT-8012-KP-RT-8012-KP-RT-8012-KP-RT-8012-KP-RT-8,False,True,True,True,1.5624709588300902,-0.0004179018724244088,2263,2119,4232
LEARNED,2.0,A-s11-d0-t4096,4096,number,"11,583","32,594,315,658,658,658,658,658,658,658,658,658,6",False,False,False,True,-0.9999896169756539,-1.0005533695220947,2265,2119,4232
LEARNED,2.0,A-s11-d0-t4096,4096,date,2031-04-12,"2031-04-12
</think>

2031-04-12",True,True,True,False,1.301385128524089,-4.565689778246451e-06,2239,2119,4232
LEARNED,2.0,A-s11-d0-t4096,4096,hash,6d6f05e42e59ccb9,d0bc1ebb8bbb8276658b95e542e599b565e3138865e3138865e31,False,False,False,False,0.06922483444213867,-0.5205317139625549,2261,2119,4232
LEARNED,2.0,A-s11-d0-t4096,4096,path,/var/opt/mirren/spool/kx73.log,"/var/opt/mirren/spool/kx52.log
</think>

/var/opt/mirren/spool/kx52.log
</think>

/var/opt/mirren/spool/kx52.log
</think>

/var/opt/m",False,False,False,True,-1.197920573875308,-1.200648546218872,2261,2119,4232
LEARNED,2.0,A-s11-d0-t4096,4096,url,https://depot.example.net/rel/4062,https://depot.example.net/rel/4062.html?rel=4062&sl=4062&sp=4062&st=4062&sv=406,True,True,True,False,1.2179529571149033,-0.00029695991543121636,2262,2119,4232
LEARNED,2.0,A-s11-d0-t4096,4096,proper_noun,Tobias Vantol,"Halvard Brannigan
</think>

Halvard Brannigan
</think>

Tobias Sorley
</think>

Tobias Sorley
</think>

Halvard Brannigan
</think>

Halvard Brannigan
</think>",False,False,False,False,-2.3099121749401093,-2.6532304286956787,2263,2119,4232
LEARNED,2.0,A-s11-d0-t4096,4096,composition,Longmere,"Ravensgate Gatehouse
</think>

Ravensgate Gatehouse",False,False,False,True,-5.374991179074641,-5.375014305114746,2240,2119,4232
LEARNED_JOINT,2.0,A-s11-d0-t4096,4096,semantic,crimson,"blue
blue
blue
blue
blue
blue
blue
blue
blue
blue
blue
blue
blue
blue
blue
blue
blue
blue
blue
blue
blue
blue
blue
blue",False,False,False,True,-7.439445737138158,-7.4395246505737305,2256,2116,4232
LEARNED_JOINT,2.0,A-s11-d0-t4096,4096,identifier,MB-3138-XD,MB-3138-XD-KP-MB-3138-XD-KP-MB-3138-XD-KP-MB-3138-XD-KP-MB-31,True,True,True,False,0.8420421646442264,-0.003344936529174447,2260,2116,4232
LEARNED_JOINT,2.0,A-s11-d0-t4096,4096,number,"11,583","11,583 credits.",True,True,True,False,0.7292887549847364,-0.002107681706547737,2223,2116,4232
LEARNED_JOINT,2.0,A-s11-d0-t4096,4096,date,2031-04-12,2031-04-12,True,True,True,False,2.2626489166304964,-1.1348338375682943e-05,2223,2116,4232
LEARNED_JOINT,2.0,A-s11-d0-t4096,4096,hash,6d6f05e42e59ccb9,becec0ebb8bbb82769be5d1ebb8bbb82769be5d1ebb8bbb82769be5d1ebb8bbb82769be,False,False,False,False,0.6465452909469604,-0.4122321605682373,2258,2116,4232
LEARNED_JOINT,2.0,A-s11-d0-t4096,4096,path,/var/opt/mirren/spool/kx73.log,"/var/opt/mirren/spool/kx52.log
/var/opt/mirren/spool/kx52.log
/var/opt/mirren/spool/kx52.log
/var/opt/mirren/spool/kx",False,False,False,True,-1.1361349604849238,-1.1362148523330688,2258,2116,4232
LEARNED_JOINT,2.0,A-s11-d0-t4096,4096,url,https://depot.example.net/rel/4062,https://depot.example.net/rel/4062/spool/kx52.log?rel=4062&spool=kx52.log&rel=4062&spool=kx5,True,True,True,False,0.5416162089677528,-0.001778833451680839,2259,2116,4232
LEARNED_JOINT,2.0,A-s11-d0-t4096,4096,proper_noun,Tobias Vantol,Halvard Brannigan Brannigan Brannigan Brannigan Brannigan Brannigan Brannigan Brannigan Brannigan Brannigan Brannigan Brannigan Brannigan Brannigan Brannigan Br,False,False,False,False,0.516933262348175,-0.7523121237754822,2260,2116,4232
LEARNED_JOINT,2.0,A-s11-d0-t4096,4096,composition,Longmere,Ravensgate Brandywell Sparring Grounds (Ravensgate Brandywell Sparring Grounds),False,False,False,True,-5.312480718588631,-5.312514781951904,2246,2116,4232
LEARNED,4.0,A-s11-d0-t4096,4096,semantic,crimson,crimson XD-8006 KP-KP-3188 XD-8006 KP-KP-3188 XD-8006 KP-KP-3188 XD-80,True,True,True,False,1.0503595769405365,-0.17551890015602112,1204,1064,4232
LEARNED,4.0,A-s11-d0-t4096,4096,identifier,MB-3138-XD,MB-3138-XD-KP-KP-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD,True,True,True,False,1.5064314780756831,-0.004057508893311024,1208,1064,4232
LEARNED,4.0,A-s11-d0-t4096,4096,number,"11,583","32,594,111,111,111,111,111,111,111,111,111,111,1",False,False,False,True,-1.2313188564730808,-1.2323659658432007,1210,1064,4232
LEARNED,4.0,A-s11-d0-t4096,4096,date,2031-04-12,"2031-01-16.png
2031-01-16.png
2031-01-16.png
2031-01-16.png",False,False,False,False,0.46582309156656265,-0.09813489764928818,1208,1064,4232
LEARNED,4.0,A-s11-d0-t4096,4096,hash,6d6f05e42e59ccb9,6d6f50e42e59ccb9cba8bbb8ebb8bb8bb8bb8bb8bb8bb8bb8bb8bb8bb8bb8bb8bb8bb8,False,False,False,False,2.036444664001465,-0.5860538482666016,1206,1064,4232
LEARNED,4.0,A-s11-d0-t4096,4096,path,/var/opt/mirren/spool/kx73.log,"/var/opt/mirren/spool/kx52.log
/opt/vestry/spool/kx52.log
/opt/vestry/spool/kx52.log
/opt/vestry/spool/kx52.log",False,False,False,True,-0.45047477167099714,-0.4621688425540924,1206,1064,4232
LEARNED,4.0,A-s11-d0-t4096,4096,url,https://depot.example.net/rel/4062,https://depot.example.net/rel/40622.png?token=rt89012345678901234567890123456,True,False,True,False,1.838257057534065,-0.0005386043922044337,1207,1064,4232
LEARNED,4.0,A-s11-d0-t4096,4096,proper_noun,Tobias Vantol,Halvard Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Ni,False,False,False,True,-1.4581146836280823,-1.4901938438415527,1208,1064,4232
LEARNED,4.0,A-s11-d0-t4096,4096,composition,Longmere,Ravensgate Brandywell Sparring Range at Longmere Bay.,False,True,True,True,-2.1285677913110703,-2.1322383880615234,1185,1064,4232
LEARNED_JOINT,4.0,A-s11-d0-t4096,4096,semantic,crimson,blue-blue (blue-blue),False,False,False,True,-5.502559906271927,-5.502669334411621,1157,1058,4232
LEARNED_JOINT,4.0,A-s11-d0-t4096,4096,identifier,MB-3138-XD,MB-3183-XD-KP-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD-XD,False,False,False,False,0.8474315404891968,-0.507379412651062,1202,1058,4232
LEARNED_JOINT,4.0,A-s11-d0-t4096,4096,number,"11,583","11,583, in credits.",True,True,True,False,0.7501719583524391,-0.0018936406122520566,1167,1058,4232
LEARNED_JOINT,4.0,A-s11-d0-t4096,4096,date,2031-04-12,2031-04-07-22:30:59:65:69:71:73:75:77:79:81:83:8,False,False,False,False,1.0148422420024872,-0.36672261357307434,1202,1058,4232
LEARNED_JOINT,4.0,A-s11-d0-t4096,4096,hash,6d6f05e42e59ccb9,6d8f05e428bb59cb99ebcbe528bb59cb99ebcbe528bb59cb99ebcbe528bb5,False,False,False,False,1.9069606065750122,-1.00668466091156,1200,1058,4232
LEARNED_JOINT,4.0,A-s11-d0-t4096,4096,path,/var/opt/mirren/spool/kx73.log,"/var/opt/mirren/spool/kx52.log
/var/opt/mirren/spool/kx52.log
/var/opt/mirren/spool/kx52.log
/var/opt/mirren/spool/kx",False,False,False,True,-0.3751330084633082,-0.3780750036239624,1200,1058,4232
LEARNED_JOINT,4.0,A-s11-d0-t4096,4096,url,https://depot.example.net/rel/4062,https://depot.example.net/rel/6202-kx73.log?token=6d8f0e525e9ccb799e7bc8e99b9999,False,False,False,False,0.623507559299469,-0.28764617443084717,1201,1058,4232
LEARNED_JOINT,4.0,A-s11-d0-t4096,4096,proper_noun,Tobias Vantol,Halvard Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Nieminen Ni,False,False,False,True,-3.62219213321805,-3.648758888244629,1202,1058,4232
LEARNED_JOINT,4.0,A-s11-d0-t4096,4096,composition,Longmere,Longmere Sparring Grounds (Ravensgate Branch),False,True,True,True,0.04865831136703491,-0.21547016501426697,1177,1058,4232
